USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23240 14312 ?        Ss   18:10   0:04 /sbin/init splash
root          54  0.0  0.0      0     0 ?        S    18:10   0:01 [ksoftirqd/6]
root          56  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/6:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    18:10   0:00 [cpuhp/7]
root          58  0.0  0.0      0     0 ?        S    18:10   0:00 [idle_inject/7]
root          59  0.0  0.0      0     0 ?        S    18:10   0:00 [migration/7]
root          60  0.0  0.0      0     0 ?        S    18:10   0:01 [ksoftirqd/7]
root          62  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/7:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    18:10   0:00 [cpuhp/8]
root          64  0.0  0.0      0     0 ?        S    18:10   0:00 [idle_inject/8]
root          65  0.0  0.0      0     0 ?        S    18:10   0:00 [migration/8]
root          66  0.0  0.0      0     0 ?        S    18:10   0:00 [ksoftirqd/8]
root          68  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/8:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    18:10   0:00 [cpuhp/9]
root          70  0.0  0.0      0     0 ?        S    18:10   0:00 [idle_inject/9]
root          71  0.0  0.0      0     0 ?        S    18:10   0:00 [migration/9]
root          72  0.0  0.0      0     0 ?        S    18:10   0:00 [ksoftirqd/9]
root          74  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/9:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    18:10   0:00 [cpuhp/10]
root          76  0.0  0.0      0     0 ?        S    18:10   0:00 [idle_inject/10]
root          77  0.0  0.0      0     0 ?        S    18:10   0:00 [migration/10]
root          78  0.0  0.0      0     0 ?        S    18:10   0:00 [ksoftirqd/10]
root          80  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/10:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    18:10   0:00 [cpuhp/11]
root          82  0.0  0.0      0     0 ?        S    18:10   0:00 [idle_inject/11]
root          83  0.0  0.0      0     0 ?        S    18:10   0:00 [migration/11]
root          84  0.0  0.0      0     0 ?        S    18:10   0:00 [ksoftirqd/11]
root          86  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/11:0H-events_highpri]
root          87  0.0  0.0      0     0 ?        S    18:10   0:00 [kdevtmpfs]
root          88  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-inet_frag_wq]
root          89  0.0  0.0      0     0 ?        I    18:10   0:00 [rcu_tasks_kthread]
root          90  0.0  0.0      0     0 ?        I    18:10   0:00 [rcu_tasks_rude_kthread]
root          91  0.0  0.0      0     0 ?        I    18:10   0:00 [rcu_tasks_trace_kthread]
root          92  0.0  0.0      0     0 ?        S    18:10   0:00 [kauditd]
root          93  0.0  0.0      0     0 ?        S    18:10   0:00 [khungtaskd]
root          94  0.0  0.0      0     0 ?        S    18:10   0:00 [oom_reaper]
root          97  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-writeback]
root          98  0.0  0.0      0     0 ?        S    18:10   0:00 [kcompactd0]
root          99  0.0  0.0      0     0 ?        SN   18:10   0:00 [ksmd]
root         100  0.0  0.0      0     0 ?        SN   18:10   0:00 [khugepaged]
root         101  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-kblockd]
root         102  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-blkcg_punt_bio]
root         103  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-kintegrityd]
root         104  0.0  0.0      0     0 ?        S    18:10   0:02 [irq/9-acpi]
root         108  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-tpm_dev_wq]
root         109  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-ata_sff]
root         110  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-md]
root         111  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-md_bitmap]
root         112  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-edac-poller]
root         113  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-devfreq_wq]
root         114  0.0  0.0      0     0 ?        S    18:10   0:00 [watchdogd]
root         115  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-quota_events_unbound]
root         116  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/6:1H-i915_cleanup]
root         117  0.0  0.0      0     0 ?        S    18:10   0:00 [irq/120-dmar0-prq]
root         119  0.0  0.0      0     0 ?        S    18:10   0:00 [ksgxd]
root         121  0.0  0.0      0     0 ?        S    18:10   0:00 [kswapd0]
root         122  0.0  0.0      0     0 ?        S    18:10   0:00 [ecryptfs-kthread]
root         123  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-kthrotld]
root         124  0.0  0.0      0     0 ?        S    18:10   0:00 [irq/124-pciehp]
root         125  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-acpi_thermal_pm]
root         126  0.0  0.0      0     0 ?        S    18:10   0:00 [hwrng]
root         127  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-mld]
root         128  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/7:1H-kblockd]
root         129  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-ipv6_addrconf]
root         130  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-kstrp]
root         146  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-charger_manager]
root         147  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/0:1H-kblockd]
root         172  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/11:1H-i915_cleanup]
root         175  0.0  0.0      0     0 ?        I<   18:10   0:01 [kworker/10:1H-i915_cleanup]
root         188  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/3:1H-i915_cleanup]
root         190  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/1:1H-kblockd]
root         205  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/2:1H-kblockd]
root         206  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/5:1H-i915_cleanup]
root         207  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/8:1H-i915_cleanup]
root         208  0.0  0.0      0     0 ?        I<   18:10   0:01 [kworker/9:1H-kblockd]
root         224  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/4:1H-kblockd]
root         232  0.0  0.0      0     0 ?        S    18:10   0:00 [scsi_eh_0]
root         233  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-scsi_tmf_0]
root         234  0.0  0.0      0     0 ?        S    18:10   0:00 [scsi_eh_1]
root         235  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-scsi_tmf_1]
root         236  0.0  0.0      0     0 ?        S    18:10   0:00 [scsi_eh_2]
root         237  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-scsi_tmf_2]
root         238  0.0  0.0      0     0 ?        S    18:10   0:00 [scsi_eh_3]
root         239  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-scsi_tmf_3]
root         240  0.0  0.0      0     0 ?        S    18:10   0:00 [scsi_eh_4]
root         241  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-scsi_tmf_4]
root         245  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-nvme-wq]
root         246  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-nvme-reset-wq]
root         247  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-nvme-delete-wq]
root         248  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-nvme-auth-wq]
root         254  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-ktpacpid]
root         262  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-USBC000:00-con1]
root         263  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-USBC000:00-con2]
root         311  0.0  0.0      0     0 ?        S    18:10   0:01 [jbd2/sda1-8]
root         312  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-ext4-rsv-conversion]
root         358  0.0  0.0  67392 19808 ?        S<s  18:10   0:01 /usr/lib/systemd/systemd-journald
root         394  0.0  0.0  30352  8256 ?        Ss   18:10   0:01 /usr/lib/systemd/systemd-udevd
root         418  0.0  0.0      0     0 ?        S    18:10   0:00 [psimon]
root         499  0.0  0.0      0     0 ?        S    18:10   0:00 [irq/151-mei_me]
root         502  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-cfg80211]
root         534  0.3  0.0      0     0 ?        S    18:10   0:25 [irq/152-iwlwifi]
root         543  0.0  0.0      0     0 ?        S    18:10   0:01 [jbd2/sda3-8]
root         544  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-ext4-rsv-conversion]
systemd+     690  0.0  0.0  17572  7656 ?        Ss   18:10   0:04 /usr/lib/systemd/systemd-oomd
systemd+     691  0.0  0.0  21612 13156 ?        Ss   18:10   0:01 /usr/lib/systemd/systemd-resolved
systemd+     692  0.0  0.0  91060  7852 ?        Ssl  18:10   0:00 /usr/lib/systemd/systemd-timesyncd
root         699  0.0  0.0      0     0 ?        I<   18:10   0:00 [kworker/R-ttm]
root         700  0.0  0.0      0     0 ?        S    18:10   0:00 [card1-crtc0]
root         701  0.0  0.0      0     0 ?        S    18:10   0:00 [card1-crtc1]
root         702  0.0  0.0      0     0 ?        S    18:10   0:00 [card1-crtc2]
root         705  0.0  0.0      0     0 ?        S    18:10   0:00 [nv_queue]
root         706  0.0  0.0      0     0 ?        S    18:10   0:00 [nv_queue]
root         709  0.4  0.0      0     0 ?        S    18:10   0:37 [irq/154-elan_i2c]
avahi        741  0.0  0.0   8760  4652 ?        Ss   18:10   0:00 avahi-daemon: running [BoB.local]
root         742  0.0  0.0  13668  6788 ?        Ss   18:10   0:00 /usr/libexec/bluetooth/bluetoothd
message+     743  0.0  0.0  12368  7616 ?        Ss   18:10   0:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+     746  0.0  0.0 365492 16516 ?        Ssl  18:10   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd      757  0.0  0.0 384752 11204 ?        Ssl  18:10   0:00 /usr/lib/polkit-1/polkitd --no-debug
root         760  0.0  0.0 313516  7908 ?        Ssl  18:10   0:00 /usr/libexec/power-profiles-daemon
root         768  0.0  0.0 315212  9632 ?        Ssl  18:10   0:00 /usr/libexec/accounts-daemon
root         769  0.0  0.0   9432  2856 ?        Ss   18:10   0:00 /usr/sbin/cron -f -P
root         770  0.0  0.0      0     0 ?        S    18:10   0:00 [nvidia-modeset/kthread_q]
root         771  0.0  0.0      0     0 ?        S    18:10   0:00 [nvidia-modeset/deferred_close_kthread_q]
root         773  0.0  0.0 309932  6944 ?        Ssl  18:10   0:00 /usr/libexec/switcheroo-control
root         775  0.0  0.0  18208  9300 ?        Ss   18:10   0:00 /usr/lib/systemd/systemd-logind
root         776  0.0  0.0      0     0 ?        S    18:10   0:01 [irq/155-nvidia]
root         777  0.0  0.0      0     0 ?        S    18:10   0:00 [nvidia]
root         778  0.0  0.0      0     0 ?        S    18:10   0:01 [nv_queue]
root         779  0.1  0.0 424932 10700 ?        Ssl  18:10   0:15 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         780  0.0  0.0 469628 14976 ?        Ssl  18:10   0:02 /usr/libexec/udisks2/udisksd
avahi        785  0.0  0.0   8488  1528 ?        S    18:10   0:00 avahi-daemon: chroot helper
root         840  0.0  0.0 337328 20668 ?        Ssl  18:10   0:02 /usr/sbin/NetworkManager --no-daemon
root         843  0.0  0.0  18420 11976 ?        Ss   18:10   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog       848  0.0  0.0 222572  6768 ?        Ssl  18:10   0:00 /usr/sbin/rsyslogd -n -iNONE
root         896  0.0  0.0 318376 12640 ?        Ssl  18:10   0:00 /usr/sbin/ModemManager
root         927  0.0  0.0 317496 10004 ?        Ssl  18:10   0:01 /usr/libexec/upowerd
root         996  0.0  0.0      0     0 ?        S    18:10   0:00 [psimon]
root        1031  0.0  0.0  38412 12228 ?        Ss   18:10   0:00 /usr/sbin/cupsd -l
root        1039  0.0  0.0 118076 24824 ?        Ssl  18:10   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1045  0.1  0.0 2607612 48584 ?       Ssl  18:10   0:10 /usr/bin/containerd
root        1134  0.0  0.0      0     0 ?        S    18:10   0:00 [UVM global queue]
root        1135  0.0  0.0      0     0 ?        S    18:10   0:00 [UVM deferred release queue]
root        1136  0.0  0.0      0     0 ?        S    18:10   0:00 [UVM Tools Event Queue]
nvidia-+    1141  0.0  0.0   5236  2088 ?        Ss   18:10   0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root        1152  0.0  0.0 314828  9184 ?        Ssl  18:10   0:00 /usr/sbin/gdm3
rtkit       1190  0.0  0.0  22948  3468 ?        SNsl 18:10   0:00 /usr/libexec/rtkit-daemon
root        1228  0.0  0.0      0     0 ?        S<   18:10   0:00 [krfcommd]
cups-br+    1318  0.0  0.0 268504 19760 ?        Ssl  18:10   0:00 /usr/sbin/cups-browsed
root        1321  1.6  0.1 3567376 117256 ?      Ssl  18:10   2:13 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
ollama      1323  0.0  0.0 2560276 46072 ?       Ssl  18:10   0:06 /usr/local/bin/ollama serve
kernoops    1325  0.0  0.0  12752  2324 ?        Ss   18:10   0:00 /usr/sbin/kerneloops --test
kernoops    1328  0.0  0.0  12752  2376 ?        Ss   18:10   0:00 /usr/sbin/kerneloops
root        1337  0.7  0.0 3062628 32936 ?       Sl   18:10   1:04 /opt/teamviewer/tv_bin/teamviewerd -d
colord      1952  0.0  0.0 320208 14568 ?        Ssl  18:10   0:00 /usr/libexec/colord
root        2335  0.0  0.0 242592 11324 ?        Sl   18:11   0:00 gdm-session-worker [pam/gdm-password]
bob         2356  0.0  0.0  21284 12744 ?        Ss   18:11   0:02 /usr/lib/systemd/systemd --user
bob         2363  0.0  0.0  21480  3684 ?        S    18:11   0:00 (sd-pam)
bob         2372  0.0  0.0 116484 15164 ?        S<sl 18:11   0:04 /usr/bin/pipewire
bob         2373  0.0  0.0  24012  5740 ?        Ssl  18:11   0:00 /usr/bin/pipewire -c filter-chain.conf
bob         2375  0.0  0.0 569188 31924 ?        S<sl 18:11   0:00 /usr/bin/wireplumber
bob         2376  0.0  0.0 121628 22568 ?        S<sl 18:11   0:07 /usr/bin/pipewire-pulse
bob         2378  0.0  0.0 537972 10748 ?        SLsl 18:11   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
bob         2386  0.0  0.0  11064  6756 ?        Ss   18:11   0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
bob         2403  0.0  0.0  29412  8480 ?        Ss   18:11   0:01 /usr/bin/jackdbus auto
bob         2430  0.0  0.0 235720  6324 tty2     Ssl+ 18:11   0:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
bob         2432  3.8  0.2 26103864 168036 tty2  Sl+  18:11   5:13 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
bob         2434  0.0  0.0 309444  6276 ?        Ssl  18:11   0:00 /usr/libexec/xdg-permission-store
bob         2495  0.0  0.0 298244 16688 tty2     Sl+  18:11   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
bob         2578  0.0  0.0 383028  8492 ?        Ssl  18:11   0:00 /usr/libexec/at-spi-bus-launcher
bob         2585  0.0  0.0   9624  5352 ?        S    18:11   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
bob         2594  0.0  0.0 162660  6992 ?        Ssl  18:11   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
bob         2595  0.0  0.0  91556  5680 ?        Ssl  18:11   0:00 /usr/libexec/gnome-session-ctl --monitor
bob         2609  0.0  0.0 314280  8136 ?        Ssl  18:11   0:00 /usr/libexec/gvfsd
bob         2617  0.0  0.0 459716  7328 ?        Sl   18:11   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
bob         2620  0.0  0.0 520584 18484 ?        Ssl  18:11   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
bob         2658  4.2  0.5 4937760 331816 ?      Ssl  18:11   5:50 /usr/bin/gnome-shell
bob         2690  0.0  0.1 1281716 127896 ?      Sl   18:11   0:04 /usr/libexec/mutter-x11-frames
bob         2693  0.0  0.0 236060  8316 ?        Sl   18:11   0:02 /usr/libexec/at-spi2-registryd --use-gnome-session
bob         2722  0.0  0.0 655936 21840 ?        Sl   18:11   0:00 /usr/libexec/gnome-shell-calendar-server
bob         2731  0.0  0.0 1279324 42872 ?       Ssl  18:11   0:00 /usr/libexec/evolution-source-registry
bob         2733  0.0  0.0 230388  6240 ?        Ssl  18:11   0:00 /usr/libexec/dconf-service
bob         2746  0.0  0.0 2924764 27400 ?       Sl   18:11   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
bob         2765  0.3  0.0 388864 12668 ?        Ssl  18:11   0:30 /usr/bin/ibus-daemon --panel disable --xim
bob         2770  0.0  0.0 383608  6816 ?        Ssl  18:11   0:00 /usr/libexec/gsd-a11y-settings
bob         2771  0.0  0.0 415676 25284 ?        Ssl  18:11   0:00 /usr/libexec/gsd-color
bob         2774  0.0  0.0 431760 12308 ?        Ssl  18:11   0:00 /usr/libexec/gsd-datetime
bob         2776  0.0  0.0 459128  8244 ?        Ssl  18:11   0:01 /usr/libexec/gsd-housekeeping
bob         2778  0.0  0.0 414520 24648 ?        Ssl  18:11   0:00 /usr/libexec/gsd-keyboard
bob         2780  0.0  0.0 597060 30720 ?        Ssl  18:11   0:00 /usr/libexec/gsd-media-keys
bob         2787  0.0  0.0 526300 28376 ?        Ssl  18:11   0:00 /usr/libexec/gsd-power
bob         2791  0.0  0.0 323772 11820 ?        Ssl  18:11   0:00 /usr/libexec/gsd-print-notifications
bob         2795  0.0  0.0 457360  7024 ?        Ssl  18:11   0:00 /usr/libexec/gsd-rfkill
bob         2800  0.0  0.0 309564  6460 ?        Ssl  18:11   0:00 /usr/libexec/gsd-screensaver-proxy
bob         2804  0.0  0.0 543412 12432 ?        Ssl  18:11   0:01 /usr/libexec/gsd-sharing
bob         2808  0.0  0.0 385908  8356 ?        Ssl  18:11   0:00 /usr/libexec/gsd-smartcard
bob         2809  0.0  0.0 393728  9876 ?        Ssl  18:11   0:00 /usr/libexec/gsd-sound
bob         2814  0.0  0.0 415176 25072 ?        Ssl  18:11   0:00 /usr/libexec/gsd-wacom
bob         2816  0.0  0.0 416748 28248 ?        Ssl  18:11   0:00 /usr/libexec/gsd-xsettings
bob         2835  0.4  0.3 1839112 256156 ?      Sl   18:11   0:40 /opt/freedownloadmanager/fdm --hidden
bob         2838  0.0  0.0 902888 64636 ?        Sl   18:11   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
bob         2857  0.0  0.0 463136 11232 ?        Ssl  18:11   0:01 /usr/libexec/gvfs-udisks2-volume-monitor
bob         2858  0.0  0.0 305500  7564 ?        Sl   18:11   0:00 /usr/libexec/gsd-disk-utility-notify
bob         2903  0.0  0.0 546772 24260 ?        Sl   18:11   0:00 /usr/libexec/goa-daemon
bob         2919  0.0  0.0 416252 15256 ?        Sl   18:11   0:00 /usr/libexec/gsd-printer
bob         2941  0.0  0.0 310492  7360 ?        Sl   18:11   0:00 /usr/libexec/ibus-dconf
bob         2952  0.1  0.0 347968 32040 ?        Sl   18:11   0:10 /usr/libexec/ibus-extension-gtk3
bob         2957  0.0  0.0 267272 24632 ?        Sl   18:11   0:00 /usr/libexec/ibus-x11 --kill-daemon
bob         2961  0.0  0.0 389132  9428 ?        Sl   18:11   0:00 /usr/libexec/goa-identity-service
bob         2963  0.0  0.0 310432  7392 ?        Sl   18:11   0:00 /usr/libexec/ibus-portal
bob         2996  0.0  0.0 389388  8292 ?        Ssl  18:11   0:00 /usr/libexec/gvfs-afc-volume-monitor
bob         2998  0.0  0.0 1374296 24548 ?       Ssl  18:11   0:00 /usr/libexec/evolution-calendar-factory
bob         3004  0.0  0.0 310768  7088 ?        Ssl  18:11   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
bob         3014  0.0  0.0 309780  6696 ?        Ssl  18:11   0:00 /usr/libexec/gvfs-goa-volume-monitor
bob         3020  0.0  0.0 309800  6768 ?        Ssl  18:11   0:00 /usr/libexec/gvfs-mtp-volume-monitor
bob         3035  0.0  0.0 825544 29924 ?        Ssl  18:11   0:00 /usr/libexec/evolution-addressbook-factory
bob         3037  0.0  0.0 628120 15272 ?        Ssl  18:11   0:00 /usr/libexec/xdg-desktop-portal
bob         3043  0.0  0.0 2801856 27216 ?       Sl   18:11   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
bob         3073  0.0  0.0 536568  7572 ?        Ssl  18:11   0:00 /usr/libexec/xdg-document-portal
root        3086  0.0  0.0   2712  2096 ?        Ss   18:11   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
bob         3099  0.0  0.0 236776  7612 ?        Sl   18:11   0:07 /usr/libexec/ibus-engine-simple
bob         3104  0.0  0.0 739504 37764 ?        SNsl 18:11   0:01 /usr/libexec/tracker-miner-fs-3
bob         3110  0.1  0.2 1950484 180904 ?      Ssl  18:11   0:10 /usr/libexec/xdg-desktop-portal-gnome
bob         3130  0.0  0.0 3254792 60652 ?       Sl   18:11   0:02 gjs -m /home/bob/.local/share/gnome-shell/extensions/gsconnect@andyholmes.github.io/service/daemon.js
bob         3425  0.0  0.0 415496 26908 ?        Ssl  18:11   0:00 /usr/libexec/xdg-desktop-portal-gtk
bob         3436  0.0  0.0 609448  9880 ?        Sl   18:11   0:00 /usr/libexec/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
bob         3477  0.0  0.1 3694400 66516 ?       Sl   18:11   0:03 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
bob         3548  0.0  0.0 236312  6548 ?        Ssl  18:11   0:00 /usr/libexec/gvfsd-metadata
bob         3707  0.0  0.0 388236  8748 ?        Sl   18:11   0:00 /usr/libexec/gvfsd-recent --spawner :1.22 /org/gtk/gvfs/exec_spaw/1
bob         3928  4.5  0.6 55629404 421016 ?     Sl   18:12   6:09 /opt/google/chrome/chrome
bob         3934  0.0  0.0   8436  1892 ?        S    18:12   0:00 cat
bob         3935  0.0  0.0   8436  1892 ?        S    18:12   0:00 cat
bob         3937  0.0  0.0 54550020 3916 ?       Sl   18:12   0:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/bob/.config/google-chrome/Crash Reports --metrics-dir=/home/bob/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.4 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=150.0.7871.46 --initial-client-fd=5 --shared-client-connection
